time;type;message
1682122300.215047;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.79m/s)
1682122300.2159169;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682122300.2908862;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.79m/s)
1682122300.2917123;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682122300.3466403;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.79m/s)
1682122300.5850892;WARNING;Warning: One trajectory generation iteration took more than 0.110s (Actual calculation time: 0.115s)
1682122302.2044199;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.50m/s)
1682122302.2054513;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682122302.2573497;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.56m/s)
1682122302.2583256;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682122302.3322105;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.60m/s)
1682122302.333183;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682122302.3844213;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.70m/s)
1682122302.385109;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682122302.4560852;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.70m/s)
1682122302.4574544;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682122302.5090294;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.70m/s)
1682122302.5097442;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682122302.5830312;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.70m/s)
1682122302.5837994;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682122302.6350157;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.70m/s)
1682122303.1412067;WARNING;Warning: One trajectory generation iteration took more than 0.110s (Actual calculation time: 0.127s)
